text,index,labels,predicted_labels,confidence
"the licenses granted by amazon terminate if you do not comply with these conditions of use or any service terms . 
",221,[1],[],[9.761517257295596e-05]


"amazon has the right but not the obligation to monitor and edit or remove any activity or content . 
",236,[3],[],[4.575379792909554e-05]


"we reserve the right to revoke the free trial and put your account on hold in the event that we determine that you are not eligible . 
",336,[1],[],[6.014151777699533e-05]


"we encourage you to give the privacy policy a careful look because , by using our services , you agree that your information may be collected and processed by snap group limited in the uk and snap inc. in the u.s. , as well as their affiliates , and transferred outside of the country in which you reside , including to countries that may not have the same data-protection laws as your country . 
",464,[4],[],[2.3923629058067427e-05]


"your content in memories might become unavailable for any number of reasons , including things like an operational glitch or a decision on our end to terminate your account . 
",528,[3 1],[],"[4.365888873619154e-05, 2.8188733274380396e-05]"
